GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Etv2	101150_at	182.8	77.3
Htr5a	101152_at	867.2	751.1
Mitf	101159_at	100.5	196.8
Tnfsf4	101164_at	101.8	185.8
101165_at	3930.3	2376.1
Zscan2	101166_at	22	56.5
101167_at	102	170
101168_at	49.7	80
Pctp	101173_at	111.7	87.8
Ocm	101174_at	292.4	235.5
Sema3c	101178_at	1795.2	1538.2
101179_at	6840.7	3023.4
Atm	101180_at	515.5	218.5
Gli3	101182_at	241.6	184.8
Hsd17b3	101184_at	468.4	308.2
Foxl1	101185_at	1658	1529.3
Ppnr	101186_at	40.9	105.8
Zik1	101193_at	131.4	83.9
Cyp19a1	101200_at	11.1	69.3
101201_r_at	15.8	109.7
Srrm2	101203_r_at	78.3	109.2
101206_at	81.2	178.8
Ppia	101207_at	49055.5	66937
Zfp651	101210_at	455.6	550.2
Rps7	101212_at	28609.8	40982.6
Rplp0	101213_at	46947.1	70975.2
Gapdh	101214_f_at	27593.6	31274.3
Gabra2	101215_at	47.2	27.8
101216_at	46.8	41.8
Fam46a	101217_at	110.7	167
Rab3il1	101221_at	22	180
Ttc39b	101222_f_at	1790.2	1141.6
101223_r_at	47.2	83.4
D5Ertd102e	101225_at	338	193.9
101226_at	378.8	503.4
Bub3	101228_at	33.5	202.7
Eif4enif1	101230_at	69.4	12.3
101231_at	223.6	235.9
C78532	101232_at	26	16.1
101233_at	9.5	27.4
Ran	101254_at	26232.4	37362.9
Ubb	101255_at	53142.1	67337.1
Artn	101278_at	180.5	212.8
Olfr49	101281_at	127.2	92.8
Gpr44	101282_at	565.2	729.7
Gja8	101286_at	110.7	17.3
101288_at	2018.8	2604.4
Klk1b22	101289_f_at	32.4	11.7
Gnrh1	101290_at	320.9	78.3
101291_at	514.6	324.5
101292_f_at	1226.7	1971.4
G6pd2	101293_at	636.1	561
Clns1a	101295_s_at	738	775.1
101301_at	548.9	358.9
Olfr15	101303_at	49	71.7
101313_r_at	246.1	61.3
Fbrs	101325_r_at	183.1	127.4
LOC100046275	101326_at	66.5	98
Pla2g5	101328_at	47.4	110.5
Igk	101332_at	28.5	130
Cdk5r2	101335_at	195.1	39.2
Try10	101338_f_at	212.6	71.1
Sh2d1b1	101343_at	349	91.8
Cckbr	101344_at	1245	970.1
Gm5571	101347_at	128.3	180
Plk1	101350_g_at	2928	3294.6
Tk2	101356_at	338.2	457.2
Ap2a1	101357_at	1099.3	794.5
Plcb3	101358_at	192.7	187.1
Lamb2	101359_at	600.4	625.7
Mapk9	101362_at	755.3	432.7
Adora2a	101363_at	997.1	1123.4
Nvl	101366_f_at	442.8	264.7
Dctn1	101367_at	1603.3	2275.4
Rhox5	101368_at	8444.6	7792
Zfp213	101369_at	508.2	740.2
Kpna1	101370_at	1613.3	798.2
Cpsf4	101371_at	520.8	646
Trip13	101372_at	699.7	926.3
Gm10229	101376_at	461.6	173
Anapc1	101377_at	161.5	181.3
Nudt14	101380_at	228.6	469.7
Rabep1	101381_at	460.2	400.9
Pbx2	101382_at	137	386.6
Tnnt1	101383_at	244.3	328
Mbd3	101385_at	2737.3	3793.9
1810030J14Rik	101386_at	121.1	6.6
Acy1	101387_at	790.8	556.8
Scarb2	101389_at	948	824.1
Chmp7	101392_at	379	489.9
Anxa3	101393_at	3160.3	8152.7
Purb	101395_at	236.4	386.9
Slc2a8	101397_at	711.2	489
Stxbp2	101398_at	431.4	167.7
Hspg2	101399_at	1643.1	799.8
Bet1	101401_at	295.3	176.5
Med24	101402_at	1113.2	718
Ccl25	101403_at	197	156.6
Ccdc115	101404_at	117.5	121.6
Smarcd1	101405_at	581.2	985
Sult2b1	101406_at	248.2	287.7
Fxn	101407_at	640.3	609.9
Gamt	101408_at	994.2	1246.5
Lgtn	101409_at	375.5	1066.1
Cldn4	101410_at	33.8	21.7
Ubr5	101413_at	123.5	66.2
Lmnb2	101414_at	477.8	385
Bat4	101415_i_at	64.4	297.1
Bat4	101416_f_at	1397.9	2054.2
