"","GSM144202","GSM144203","GSM144204","GSM144205","GSM144206"
"BMP5:205431_s_at",9.12437983616298,8.92213836930746,8.51727569320958,8.95274124718649,9.24816477930069
"OVGP1:205432_at",8.42961596420174,9.4148966042115,9.6906964439777,10.0648774638812,9.89481776330794
"BCHE:205433_at",7.42877889133759,6.73741636593706,7.28725064325462,6.46597446450407,6.59693514238723
"AAK1:205434_s_at",9.65981755074721,9.32530545508968,9.83368074865474,9.51747255410105,9.38392024862158
"AAK1:205435_s_at",9.13442632022093,7.90327934205614,8.62862780216015,9.1093083171837,9.07547914948802
"H2AFX:205436_s_at",14.4252421338799,14.5654948378992,13.746440840911,14.1982455059998,13.1825805756849
"ZNF211:205437_at",9.09855851793841,9.16239132875691,8.95739229305525,9.16540952031982,8.94749083485373
"PTPN21:205438_at",5.22881869049588,5.33985000288462,5.16591193893569,5.15380533607904,5.44294349584873
"GSTT2:205439_at",9.49305484153943,10.1407019799017,10.263738674845,9.78365308639007,10.1193302365188
"NPY1R:205440_s_at",7.32732808262995,4.51096191927738,5.42961596420174,7.08214904135387,4.95419631038687
"OCEL1:205441_at",10.4741115139424,10.8458036462159,10.4540936203654,10.5241498912852,10.1344263202209
"MFAP3L:205442_at",9.37981154378699,9.6487170873793,9.27821712147131,9.25597274199961,8.92303029826377
"SNAPC1:205443_at",10.4331681154198,10.5519004799996,10.4411805070447,10.5855259434313,11.0742752872543
"ATP2A1:205444_at",8.6959242370186,8.44749654666539,8.49425558654498,9.07547914948802,9.36238221623699
"PRL:205445_at",9.27309622372628,8.36325870170799,8.13031314554346,8.81730347583199,8.85424505422013
"ATF2:205446_s_at",9.40896655165431,9.57950451284215,9.335836940378,9.76834976197003,9.7128708676899
"MAP3K12:205447_s_at",6.8073549220576,9.59749392944769,9.45635441510829,8.48341273352902,7.03672310600552
"MAP3K12:205448_s_at",8.63662462054365,9.50957709019796,9.68982330042935,9.75538835099366,8.97154355395077
"SAC3D1:205449_at",11.8747892828141,11.6937918427115,11.8681666352179,11.8730595476615,11.8058244673887
"PHKA1:205450_at",10.49155250355,9.71613352524624,10.2520740427962,10.289212002723,10.4522412404308
"FOXO4:205451_at",7.85798099512757,8.04165915163721,6.05311133645956,8.20554891117303,7.96866679319521
"PIGB:205452_at",10.1245090809596,10.588152437079,10.6144337918694,10.6580329203355,11.1362221531702
"HOXB2:205453_at",6.99774402605963,6.98754825895374,6.38715571766298,7.39746072605472,7.81185631429254
"HPCA:205454_at",5.3037807481771,5.58195375084882,5.06608919045777,5.03121873061072,5.16992500144231
"MST1R:205455_at",11.2327207079649,10.9925843440058,11.402479172215,11.2678400727607,11.4430471340113
"CD3E:205456_at",9.407905043961,9.61911951145322,9.28424574982967,9.91752126463192,8.70355756192103
"C6orf106:205457_at",9.01234519041983,9.20994068029019,9.44646302341689,9.24674059849314,9.60102789702112
"MC1R:205458_at",9.72246602447109,10.1153038061521,9.62625659794324,10.0687782779854,9.46209322948681
"NPAS2:205459_s_at",8.19475685442225,9.08401109845503,8.84329297333358,9.34163000932991,8.88294867271663
"NPAS2:205460_at",5.70597790168252,5.60288440871842,6.1106138055009,4.32912359629157,5.16188768237689
"RAB35:205461_at",9.56605403817109,10.0617761975867,9.7460103815487,9.61194694181998,9.57893871309339
"HPCAL1:205462_s_at",11.0516847750316,11.9813532163131,10.9552139821463,11.3680698765321,11.2272549236749
"PDGFA:205463_s_at",10.5283564300687,10.1333991254172,10.3913510087373,10.4582015247379,10.7980667203631
"SCNN1B:205464_at",8.09011241966429,6.44625622988956,8.46597446450407,8.22929950871093,7.34607044078517
"HS3ST1:205465_x_at",10.3864014236408,10.999718196104,10.2651461823136,9.32867492732795,10.2900188469326
"HS3ST1:205466_s_at",11.9602191890583,13.1830925630473,12.2419533662523,11.7333543406138,12.0985585179384
"CASP10:205467_at",6.93899143877554,8.84454885592944,9.2460279805281,8.50342824659197,8.38284014447524
"IRF5:205468_s_at",8.80122333788621,7.74685018309805,7.80864246791806,7.70873904135958,7.75221336786514
"IRF5:205469_s_at",10.668353180473,10.2351765636025,10.38499954473,10.4143681251254,10.1637754503972
"KLK11:205470_s_at",8.20114373205303,8.27844945822048,8.64781815592715,9.14389336075641,8.47451716417449
"DACH1:205471_s_at",6.51096191927738,3.79701297783614,7.09064175191785,3.97269265400426,6.15785216914174
