"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"SLC44A5:1552782_at",NA,NA,NA,NA
"ZNF417:1552783_at",NA,NA,NA,NA
"ZNF781:1552785_at",3.65420637794429,2.06350294230616,2.67807190511264,2.52857131887076
"HELB:1552787_at",NA,NA,NA,NA
"HELB:1552788_a_at",NA,NA,NA,NA
"SEC62:1552789_at",NA,NA,NA,NA
"SEC62:1552790_a_at",NA,NA,NA,NA
"TRDN:1552791_a_at",3.10433665981474,4.57288966842058,4.38128337250378,4.53044535469291
"SOCS4:1552792_at",NA,NA,NA,NA
"C8orf31:1552793_at",5.30924896081662,4.24640808724638,4.83137058796754,5.02236781302845
"ZNF547:1552794_a_at",NA,NA,NA,NA
"SIM1:1552796_a_at",NA,NA,NA,NA
"PROM2:1552797_s_at",NA,NA,NA,NA
"TLR4:1552798_a_at",NA,NA,NA,NA
"TSNARE1:1552799_at",NA,NA,NA,NA
"ABHD11:1552800_at",NA,NA,NA,NA
"CAPN13:1552801_at",NA,NA,NA,NA
"STMN1:1552803_a_at",NA,NA,NA,NA
"TIRAP:1552804_a_at",NA,NA,NA,NA
"SIGLEC10:1552806_a_at",NA,NA,NA,NA
"SIGLEC10:1552807_a_at",NA,NA,NA,NA
"ADAMTSL1:1552808_at",NA,NA,NA,NA
"RFX4:1552809_at",3.91934008244201,3.64385618977472,3.26002565596146,3.32192809488736
"WFIKKN1:1552811_at",NA,NA,NA,NA
"SENP1:1552812_a_at",NA,NA,NA,NA
"KLF14:1552813_at",NA,NA,NA,NA
"KLF14:1552814_a_at",3.01256867350306,0.422233000683048,2.48026512205446,2.79701297783614
"NXNL2:1552816_at",2.05311133645956,0.16349873228288,1.24488705912353,2.76341157447001
"BRS3:1552818_a_at",NA,NA,NA,NA
"LINC00205:1552819_at",NA,NA,NA,NA
"TMX3:1552822_at",NA,NA,NA,NA
"ZNF396:1552825_at",2.89141918684608,2.57531233068744,3.92884403671257,0
"SLC26A7:1552826_at",1.39506279951758,0.823749360308273,2.77610398807316,3.72574115650395
"SLC26A7:1552827_s_at",NA,NA,NA,NA
"SNX18:1552828_at",NA,NA,NA,NA
":1552829_at",6.91037290252923,7.01122725542325,6.415657274159,6.32822611878773
"FBXO39:1552830_at",2.12763327972587,2.54596836910529,3.0232553523003,2.61588707391606
"B3GNT6:1552833_at",NA,NA,NA,NA
