"","GSM6207","GSM6208","GSM6209","GSM6210","GSM6211","GSM6212","GSM6213","GSM6214","GSM6215","GSM6216","GSM6217","GSM6218"
"Sptbn2:AB001347_s_at",9.4148966042115,8.62314990022045,8.83888875478618,9.12954061806,9.11660388287422,8.03617361255349,8.64349547092277,8.42710328715284,8.93310047493137,8.69034724996876,8.63662462054365,8.91378699987453
"Star:AB001349_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shc2:AB001452_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shc3:AB001453_at",9.26912667914942,9.70856662486211,8.18239435340453,9.46025109894385,8.80574387215162,8.78920757534734,9.65338252316937,8.01903466936434,9.55439699117587,9.13673483798046,9.97211821838414,9.21965256510381
"Nrg2:AB001576_s_at",8.23122118071119,7.39574832817903,7.36544758855011,7.43546191447928,7.85611423397746,7.41023933077602,7.44790974874208,7.58120058192496,7.93014594790882,7.33181268381921,8.03287224946323,8.01736520529273
"Ghsr:AB001982_at",NA,NA,NA,0.584962500721156,5.28909670241999,5.61765111942733,5.41278152533848,NA,NA,7.10956950937069,NA,NA
"Ghsr:AB001982_g_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nsfl1c:AB002086_at",12.0842769105315,12.5533653036063,12.2093010460341,11.8413677818823,11.8027586787641,12.0115068203967,11.9725490665405,12.667200265979,12.7579316475845,12.3644630004271,12.2273752736262,11.8223716599633
"Nsfl1c:AB002086_g_at",12.4474190580991,12.5858310497115,12.2642959774264,12.2448692250655,12.1444033271954,12.3102719472978,12.2125571801642,12.8203784363237,12.6780498911654,12.5916392160301,12.3710687334953,11.816023639828
"Pex12:AB002111_at",8.36937923530375,8.7515440590891,7.62570884306447,8.43295940727611,8.42919748847991,8.4524471779147,8.34385193344212,8.26115467261557,7.16992500144231,7.93369065495223,7.24126817732937,7.06931549454008
"LOC100912662:AB002169_at",10.1519044683427,9.69331270844532,9.67701485655572,9.91707366287822,10.0328722494632,9.85502417344892,9.23840473932508,9.0837452373945,8.23409889783732,9.2240016741981,8.80057638942654,8.92925840863697
"Hal:AB002393_at",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hal:AB002393_g_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruvbl1:AB002406_at",11.7080492517022,11.6940531216209,11.5800700907811,11.1022381939307,10.5067042800898,10.6075152627968,10.333714426094,11.6648916692861,11.949389022014,11.9467600973408,11.6389788588784,11.525129251204
"Gpd1:AB002558_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fgf16:AB002561_at",6.78528898070402,7.24792751344359,5.3819754785573,7.25833047261243,6.49825086752783,6.19179950106508,5.12101540096137,NA,6.13134253912326,6.78659636189081,5.83035674741922,5.3110671022556
"Agxt2:AB002584_at",NA,NA,NA,4.69488019279919,3.54843662469604,NA,NA,NA,NA,NA,NA,NA
"Cnga3:AB002801_at",6.63807383718072,NA,5.30742852519225,NA,NA,5.60584986719498,NA,5.2667865406949,4.27798474729977,NA,NA,5.36457243229586
"C5ar1:AB003042_at",8.81826260830447,6.85424505422013,8.43629511983936,9.03121873061072,9.3409627642517,9.4708621994137,9.44107673469862,7.03232128705788,5.74146698640115,7.33449676839042,7.3389591754152,8.23122118071119
"Irf2:AB003091_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bfsp1:AB003104_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0703893278914,NA,NA
"Slk:AB003357_at",8.01847839596593,8.20359271420771,7.55074678538324,7.86974805146507,8.18834157601082,7.88447581908648,7.80992886572143,7.72519581722666,7.91528186586766,8.21868431336217,7.92481250360578,8.11478344724985
